b8-b8a,(b8a-b7)/(b8a+b7),B5/B6,B4/b8a,(b8a-b4)/(b8a+b4),lg5,b8a/b9,B5/b9,B8/b8a,B3/B5,b8-b9,b3-b5,b8-b11,B3/B6,lg8a,(b8-b7)/(b8+b7),b8a-b9,(b8-b8a)/(b8+b8a),B7/b8a,B3/b8a,B5/B7,B3/B11,(b8-b5)/(b8+b5),b4-b8,b4-b6,(b8a-b5)/(b8a+b5),0.1494,0.0734,(b8-b4)/(b8+b4),B4/B7,B6/B8,b2-b5,B2/B12,b9/B11,b3-b4,B7/B12,B5/b8a,1/b11,(b8a-b11)/(b8a+b11),lg8,b6-b9,(b8-b9)/(b8+b9),B6/b8a,B2/b8a,B2/B7,b8-b12,(b8-b2)/(b8+b2),B6/B12,(b8a-b6)/(b8a+b6),(b8-b11)/(b8+b11),b8a-b12,b5-b8a,b2-b4,1/b3,lg4,B8/B12,b11-b12,B5/B12,b6-b8a,(b8-b6)/(b8+b6),b6-b7,B2/B6,B3/B8,b6-b8,b7-b11,B3/B12,0.0498,b9/B12,1/b4,B3,1/b9,b7-b9,B3/B4,B2/B8,b8a-b11,B3/B7,b3-b7,B6/B11,1/b12,b8a/B12,b5-b8,0.0755,0.1532,B7,B7/B8,B4/B8,B7/b9,B2/B3,B3/b9,B11/B12,B8/b9,B6/B7,B4/B6,lg11,b8a/B11,B2/b9,B12,(b8a-b3)/(b8a+b3),b5-b7,B11,B4/B11,lg2,lg3,b4-b5,B5/B11,(b8-b3)/(b8+b3),b3-b6,B5,B5/B8,(b8a-b2)/(b8a+b2),B6/b9,B8/B11,lg12,(b8-b12)/(b8+b12),B4/B12,B2/B11,lg9,B6,0.1554,B8,B2,0.1283,b9,b8a,b7-b8,b7-b8a,b2-b3,b4-b7,b9-b11,0.0911,1/b5,b9-b12,b5-b6,b2-b6,1/b8,1/b8a,B4,0.1366,0.1066,1/b7,lg7,(b8a-b9)/(b8a+b9),B2/B5,B4/b9,B4/B5,(b8a-b12)/(b8a+b12),1/b2,lg6,1/b6,B7/B11,B2/B4,0.1248,som,class,som
-0.0253,0.099139128,0.472899729,0.947953512,0.026718547,-0.864943727,1.002025316,0.353417722,0.872157655,1.871060172,-0.0249,0.0608,-0.1368,0.884823848,-1.42135459,0.031063321,0.0004,-0.0682861,0.819605862,0.659929257,0.430332922,0.422107304,0.424092409,0.015,0.04,0.478520732,0.244558259,0.387009472,-0.041643531,1.156596794,0.855156431,0.0309,0.344509066,0.638332256,-0.057,0.55490934,0.352703386,3.232062056,-0.219791051,-1.310686061,-0.0499,-0.067279114,0.745831228,0.50884285,0.620838471,-0.1197,0.263080864,0.504960657,0.145586107,-0.283817427,-0.0944,-0.1281,-0.0869,7.656967841,-1.375956492,0.590489223,0.0171,0.238795758,-0.0503,0.078076202,-0.0146,0.682249322,0.756662804,-0.025,-0.1472,0.446801232,0.18399264,0.675675676,5.330490405,0.1306,5.063291139,-0.0353,0.696162047,0.583429896,-0.1115,0.805178792,-0.0316,0.477052359,3.421142662,0.677044133,-0.1028,0.271259419,0.270909091,0.1622,0.939745075,1.086906141,0.821265823,0.771056662,0.661265823,1.05850154,0.873924051,0.90998767,1.27100271,-1.962786777,0.639625081,0.509873418,0.2923,0.204870624,-0.0924,0.3094,0.606334842,-1.003038676,-1.13114901,0.1178,0.225597931,0.138522427,-0.017,0.0698,0.404403244,0.325519089,0.747341772,0.557853911,-1.872059049,-0.257474726,0.641806363,0.325468649,-1.419581624,0.1476,0.256394641,0.1726,0.1007,0.5168379,0.1975,0.1979,-0.0104,-0.0357,-0.0299,0.0254,-0.1119,0.537824111,14.32664756,-0.0948,-0.0778,-0.0469,5.793742758,5.0530571,0.1876,0.23653088,0.281400137,6.165228113,-1.265904267,0.001011634,1.44269341,0.949873418,2.687679083,-0.192574459,9.930486594,-1.203494502,6.775067751,0.524240465,0.536780384,0.255464481,29.73,3,30
-0.0154,0.084724409,0.473835125,0.987224158,0.006428989,-0.847602337,0.984562607,0.377930246,0.910569106,1.906202723,-0.0181,0.0599,-0.1201,0.903225806,-1.308957314,0.038066865,-0.0027,-0.046808511,0.843786295,0.731707317,0.454920853,0.45503792,0.406908928,0.0132,0.0305,0.445237096,0.131882202,0.355886333,-0.040391677,1.169993118,0.889668367,0.0305,0.35884101,0.63163597,-0.044,0.5397474,0.383855981,3.611412062,-0.233132933,-1.242770275,-0.0354,-0.05456738,0.81010453,0.56097561,0.664831383,-0.1124,0.237569061,0.51820208,0.104908566,-0.27691953,-0.097,-0.1061,-0.0734,7.936507937,-1.299458902,0.582466568,0.0077,0.245542348,-0.0327,0.05838677,-0.0058,0.692473118,0.803571429,-0.0173,-0.1316,0.468053492,0.149954002,0.649702823,5.882352941,0.126,5.717552887,-0.0296,0.741176471,0.616071429,-0.1047,0.86717137,-0.0193,0.503791983,3.714710253,0.639673105,-0.0907,0.227125942,0.115151515,0.1453,0.926658163,1.084183673,0.830760435,0.766666667,0.720411664,1.028603269,0.896512293,0.960082588,1.218637993,-1.793152525,0.621885157,0.552315609,0.2692,0.154929577,-0.0792,0.2769,0.613940051,-0.985199473,-1.111568763,0.1039,0.238714337,0.108910891,-0.0135,0.0661,0.421556122,0.28125,0.797598628,0.566269411,-1.754617007,-0.263849765,0.631500743,0.348862405,-1.320637272,0.1395,0.118757613,0.1568,0.0966,0.424086758,0.1749,0.1722,-0.0115,-0.0269,-0.0294,0.0247,-0.102,0.476075916,15.12859304,-0.0943,-0.0734,-0.0429,6.37755102,5.807200929,0.17,0.132720105,0.225806452,6.882312457,-1.193695779,-0.007778738,1.461422088,0.971983991,2.571860817,-0.219755324,10.35196687,-1.169008474,7.168458781,0.524738173,0.568235294,0.140027322,28.23,3,28
-0.0202,0.087009804,0.469187675,0.980834273,0.009675583,-0.851843033,0.992725238,0.37493005,0.886133033,1.865671642,-0.0215,0.058,-0.1264,0.87535014,-1.331475686,0.026779882,-0.0013,-0.060370592,0.839909808,0.704622322,0.44966443,0.440761636,0.402319358,0.0168,0.0312,0.451718494,0.157490397,0.349120433,-0.050724638,1.167785235,0.908396947,0.0312,0.359443631,0.630112835,-0.049,0.545387994,0.377677565,3.526093089,-0.230368764,-1.244481567,-0.0359,-0.064007145,0.804960541,0.553551297,0.659060403,-0.116,0.23101018,0.522693997,0.108057464,-0.286751361,-0.0958,-0.1104,-0.0758,8,-1.316741076,0.575402635,0.0104,0.245241581,-0.0346,0.048,-0.0062,0.68767507,0.795165394,-0.0144,-0.1346,0.457540264,0.158233671,0.654099561,5.747126437,0.125,5.595970901,-0.0297,0.718390805,0.624681934,-0.1062,0.838926174,-0.024,0.503526093,3.660322108,0.649341142,-0.0902,0.244348762,0.146666667,0.149,0.94783715,1.106870229,0.833799664,0.7856,0.699496363,1.03806735,0.879686626,0.958389262,1.218487395,-1.827172258,0.625528914,0.549524342,0.2732,0.173280423,-0.082,0.2836,0.613540197,-0.992173229,-1.107309365,0.107,0.236248237,0.114103473,-0.0178,0.067,0.426208651,0.287373004,0.799104645,0.554301834,-1.774562098,-0.269516729,0.636896047,0.346262341,-1.337121045,0.1428,0.141900122,0.1572,0.0982,0.443207763,0.1787,0.1774,-0.0082,-0.0284,-0.0268,0.025,-0.1049,0.486768244,14.92537313,-0.0945,-0.0758,-0.0446,6.361323155,5.636978579,0.174,0.135348226,0.248455731,6.711409396,-1.209462255,-0.00365066,1.465671642,0.973698937,2.597014925,-0.212605415,10.18329939,-1.183051427,7.00280112,0.52538787,0.564367816,0.165300546,29.54,3,30
-0.0137,0.078671852,0.494996664,1.002773156,-0.001384658,-0.885272182,0.978827362,0.402823018,0.92401553,1.81671159,-0.0176,0.0606,-0.1202,0.899266177,-1.344078302,0.03930131,-0.0039,-0.039492649,0.854132002,0.747642818,0.481818182,0.470013947,0.38372093,0.0142,0.0309,0.416895874,0.201024328,0.415426252,-0.040875072,1.174025974,0.899759904,0.0338,0.389750992,0.642259414,-0.046,0.555756045,0.411536328,3.486750349,-0.228002569,-1.284810325,-0.0343,-0.050171038,0.831392124,0.599001664,0.701298701,-0.1105,0.213401311,0.540959942,0.092065415,-0.265108072,-0.0968,-0.1061,-0.0728,7.418397626,-1.346254552,0.601226994,0.0097,0.267773367,-0.0304,0.052764613,-0.0041,0.72048032,0.809123649,-0.0167,-0.1328,0.486466979,0.224471021,0.66474197,5.530973451,0.1348,5.42888165,-0.0302,0.745575221,0.648259304,-0.1065,0.875324675,-0.0192,0.522663877,3.608805485,0.650667629,-0.0924,0.349838536,0.164242424,0.154,0.924369748,1.085234094,0.836047774,0.801186944,0.731813246,1.035005413,0.904451683,0.973376623,1.206137425,-1.843586939,0.628661088,0.586319218,0.2771,0.144398604,-0.0798,0.2868,0.630404463,-1.034579533,-1.149015726,0.1066,0.258716876,0.105507631,-0.0151,0.0742,0.445378151,0.250780437,0.813789359,0.580892608,-1.794161344,-0.249042146,0.652472032,0.376569038,-1.36108055,0.1499,0.175395859,0.1666,0.108,0.452340183,0.1842,0.1803,-0.0126,-0.0263,-0.0268,0.0268,-0.1026,0.497193264,13.47708895,-0.0929,-0.0757,-0.0419,6.00240096,5.546311703,0.1808,0.197109067,0.297185999,6.493506494,-1.230800619,-0.010699588,1.455525606,0.981541802,2.436657682,-0.211630958,9.259259259,-1.213300147,6.671114076,0.536959554,0.597345133,0.199453552,28.8,3,29
-0.0209,0.084653195,0.458360656,0.944612286,0.028482651,-0.865409128,1.004552352,0.353566009,0.894763343,1.908440629,-0.02,0.0635,-0.1236,0.874754098,-1.424459308,0.029249928,0.0009,-0.055540792,0.843907351,0.671701913,0.417064439,0.442748092,0.435379645,0.0099,0.0351,0.479329609,0.244558259,0.405953992,-0.027101013,1.119331742,0.858187957,0.0324,0.382286996,0.656156654,-0.0542,0.626307922,0.351963746,3.318951211,-0.205441088,-1.332777881,-0.0452,-0.053276505,0.767875126,0.51510574,0.610381862,-0.0899,0.269285714,0.569880419,0.131301623,-0.258037578,-0.069,-0.1287,-0.0853,7.496251874,-1.375956492,0.664050822,0.0337,0.261210762,-0.0461,0.076317383,-0.0151,0.670819672,0.750703433,-0.0252,-0.1337,0.498505232,0.184912603,0.738789238,5.330490405,0.1334,5.058168943,-0.0301,0.71108742,0.575689364,-0.1027,0.795942721,-0.0342,0.50614006,3.736920777,0.742152466,-0.1078,0.288482239,0.275151515,0.1676,0.943162634,1.055711874,0.847749115,0.766866567,0.674759737,1.12593423,0.898836621,0.909904535,1.230163934,-1.919382598,0.659143711,0.517450683,0.2676,0.196385542,-0.0977,0.3013,0.622635247,-1.009974135,-1.143060712,0.1177,0.23199469,0.142397943,-0.0191,0.0699,0.393359595,0.32003988,0.771370764,0.58977763,-1.74668251,-0.201886369,0.701046338,0.339528709,-1.420468002,0.1525,0.257612667,0.1777,0.1023,0.493721461,0.1977,0.1986,-0.0101,-0.031,-0.0311,0.02,-0.1036,0.471798984,14.30615165,-0.0699,-0.0826,-0.0502,5.627462015,5.035246727,0.1876,0.270039422,0.315030885,5.966587112,-1.289114995,0.002271007,1.463519313,0.948912494,2.683834049,-0.148005148,9.775171065,-1.224394609,6.557377049,0.556256223,0.545309168,0.292349727,26.74,3,27
-0.0195,0.08311763,0.473961767,0.966542751,0.017013233,-0.874683171,0.990531299,0.378221988,0.896441848,1.891515994,-0.0213,0.0641,-0.1318,0.896506262,-1.379025638,0.028641073,-0.0018,-0.054606553,0.846521508,0.722251726,0.451066499,0.452428476,0.402575821,0.0132,0.0303,0.447348194,0.208706786,0.423545332,-0.037628278,1.141781681,0.898696682,0.0329,0.360881543,0.632401863,-0.046,0.548898072,0.381837493,3.326679973,-0.229699325,-1.294284665,-0.0384,-0.059348008,0.805629315,0.556558683,0.657465496,-0.1216,0.233918129,0.52238292,0.107647059,-0.28078398,-0.1021,-0.1164,-0.0772,7.352941176,-1.351481729,0.581267218,0.0102,0.247589532,-0.0366,0.053354134,-0.0077,0.690837179,0.805687204,-0.0171,-0.1412,0.468319559,0.203311868,0.654614325,5.494505495,0.136,5.260389269,-0.0307,0.747252747,0.620853081,-0.1123,0.853199498,-0.0234,0.504657352,3.443526171,0.648415978,-0.0969,0.315392896,0.212727273,0.1594,0.944312796,1.078199052,0.838506049,0.770588235,0.715412941,1.035123967,0.887953709,0.951693852,1.199736322,-1.915668357,0.626413839,0.551288795,0.2904,0.161270429,-0.0875,0.3006,0.605455755,-1.020784481,-1.154119913,0.1101,0.23918829,0.107611549,-0.0157,0.0719,0.425947867,0.284885705,0.798001052,0.56154358,-1.862185644,-0.264808362,0.626721763,0.348636061,-1.386928152,0.1517,0.211327649,0.1688,0.1048,0.491723744,0.1901,0.1883,-0.0094,-0.0289,-0.0312,0.0226,-0.1105,0.532745255,13.90820584,-0.1003,-0.0798,-0.0469,5.924170616,5.310674456,0.182,0.211563732,0.309540151,6.273525721,-1.253900126,-0.004756871,1.457579972,0.957390847,2.531293463,-0.213285983,9.541984733,-1.220979725,6.591957811,0.530272788,0.575824176,0.236338798,27.3,3,27
-0.021,0.09059132,0.500682128,0.965811966,0.017391304,-0.881597925,0.991000529,0.388565379,0.887820513,1.83106267,-0.0227,0.061,-0.1421,0.916780355,-1.374203699,0.031337263,-0.0017,-0.05942275,0.833867521,0.717948718,0.470211403,0.43593902,0.387312187,0.0146,0.0342,0.436684574,0.201024328,0.412719892,-0.042074928,1.158231903,0.882069795,0.0289,0.346310088,0.612714888,-0.0464,0.528436019,0.392094017,3.243593902,-0.244399596,-1.2830893,-0.0423,-0.063925655,0.783119658,0.546474359,0.655349135,-0.1292,0.237988827,0.496276236,0.121629718,-0.29947313,-0.1082,-0.1138,-0.0785,7.44047619,-1.346254552,0.562626947,0.0129,0.248476642,-0.0406,0.062659847,-0.0095,0.69781719,0.80866426,-0.0196,-0.1522,0.454976303,0.217111316,0.639471903,5.530973451,0.1344,5.293806247,-0.0328,0.743362832,0.615523466,-0.1211,0.860986547,-0.0217,0.475510866,3.385240352,0.633716994,-0.0928,0.288482239,0.206060606,0.1561,0.939229844,1.087845969,0.826363155,0.761160714,0.71148756,1.043669601,0.879830598,0.939141576,1.233287858,-1.956845777,0.607200778,0.541556379,0.2954,0.164179104,-0.0827,0.3083,0.586441777,-1.009974135,-1.14731432,0.1074,0.238079792,0.105788423,-0.0122,0.0734,0.441636582,0.293264249,0.776071996,0.539085307,-1.888254928,-0.279896014,0.612051456,0.331819656,-1.381658131,0.1466,0.204019488,0.1662,0.1023,0.51369863,0.1889,0.1872,-0.0101,-0.0311,-0.0321,0.0247,-0.1194,0.546110666,13.6239782,-0.1065,-0.0732,-0.0443,6.016847172,5.341880342,0.1808,0.194480946,0.274536719,6.406149904,-1.239776344,-0.004520074,1.39373297,0.957120169,2.463215259,-0.224202238,9.775171065,-1.199233407,6.821282401,0.506325008,0.565818584,0.213797814,28.8,3,29
-0.0211,0.099176277,0.483438486,0.952038369,0.024570025,-0.824715384,0.989323843,0.363582444,0.873501199,1.853181077,-0.0229,0.0523,-0.1391,0.895899054,-1.285671017,0.031869688,-0.0018,-0.06752,0.819544365,0.681055156,0.448427213,0.398876404,0.407729469,0.0131,0.032,0.46251644,0.060179257,0.271989175,-0.043021346,1.161667886,0.8702814,0.0247,0.321375187,0.591994382,-0.0452,0.51083707,0.367505995,3.511235955,-0.26129318,-1.19539946,-0.0418,-0.072860325,0.760191847,0.51558753,0.62911485,-0.1219,0.257660768,0.473841555,0.136239782,-0.32311266,-0.1008,-0.1055,-0.0728,8.802816901,-1.251330318,0.544469357,0.0172,0.229073244,-0.04,0.069357798,-0.0099,0.678233438,0.779684283,-0.0189,-0.1481,0.4245142,0.105795768,0.630044843,6.297229219,0.1136,5.931198102,-0.0319,0.715365239,0.590253946,-0.118,0.831016825,-0.0231,0.445224719,3.736920777,0.623318386,-0.0844,0.113024758,0.082424242,0.1367,0.938229238,1.089910776,0.810794781,0.757042254,0.673784104,1.064275037,0.864175563,0.927578639,1.252365931,-1.83331495,0.585674157,0.510083037,0.2676,0.189728959,-0.0754,0.2848,0.55758427,-0.938525149,-1.058624879,0.0975,0.215238764,0.123794832,-0.0132,0.0613,0.420727522,0.319620253,0.752075919,0.511587079,-1.74668251,-0.294943141,0.593423019,0.301966292,-1.29342274,0.1268,0.080389769,0.1457,0.086,0.44663242,0.1686,0.1668,-0.009,-0.0301,-0.0276,0.0221,-0.1162,0.471798984,16.3132137,-0.099,-0.0655,-0.0408,6.863417982,5.995203837,0.1588,0.05978975,0.138641043,7.315288954,-1.157097394,-0.005366726,1.402936378,0.941874259,2.590538336,-0.232044199,11.62790698,-1.114975435,7.886435331,0.479985955,0.541561713,0.081284153,26.55,3,27
-0.0214,0.100783875,0.500653595,0.962360122,0.019180923,-0.896241069,1.00254972,0.390617032,0.891149542,1.822454308,-0.0209,0.063,-0.1287,0.912418301,-1.415595501,0.043478261,0.0005,-0.057557827,0.81688708,0.710071211,0.476961395,0.459361632,0.39158062,0.014,0.0362,0.439238653,0.254801536,0.447902571,-0.038419319,1.178082192,0.873287671,0.0318,0.373149742,0.645278052,-0.0496,0.552839931,0.389623601,3.290556104,-0.214385614,-1.321936656,-0.0431,-0.056288715,0.778229908,0.551373347,0.674968867,-0.1153,0.235543018,0.526678141,0.124713959,-0.268628679,-0.0939,-0.12,-0.0808,7.163323782,-1.382975004,0.603098107,0.0134,0.263683305,-0.0436,0.067641682,-0.0076,0.708496732,0.796803653,-0.0222,-0.1433,0.480550775,0.246550138,0.675043029,5.285412262,0.1396,5.099439062,-0.0355,0.737843552,0.618721461,-0.1073,0.869240349,-0.021,0.503455084,3.442340792,0.6767642,-0.0986,0.354144241,0.263030303,0.1606,0.916666667,1.079908676,0.818969913,0.776504298,0.711881693,1.046127367,0.893421724,0.95267746,1.236601307,-1.933228978,0.64692333,0.552779194,0.2905,0.169541939,-0.084,0.3039,0.622573215,-1.036300876,-1.169433923,0.1126,0.252056598,0.113087675,-0.0134,0.0766,0.437214612,0.289180328,0.780214176,0.576505429,-1.862704301,-0.247584282,0.651290878,0.356696282,-1.4133828,0.153,0.247868453,0.1752,0.1084,0.501141553,0.1961,0.1966,-0.0146,-0.036,-0.0312,0.0286,-0.1078,0.533012563,13.05483029,-0.0944,-0.0764,-0.0446,5.707762557,5.08646999,0.1892,0.253613666,0.318462594,6.226650062,-1.259042349,0.001273237,1.415143603,0.96481387,2.46997389,-0.192773558,9.225092251,-1.226529486,6.535947712,0.52846331,0.572938689,0.244535519,25.8,3,26
-0.0156,0.065532306,0.464579055,1.003884333,-0.001938402,-0.958449838,0.983864119,0.384288747,0.932671558,1.964640884,-0.0194,0.0873,-0.1145,0.912731006,-1.574619734,0.030765562,-0.0038,-0.034836981,0.876996116,0.767371601,0.445374016,0.537810042,0.409654273,0.0165,0.0378,0.43823712,0.532650448,0.706359946,-0.036772899,1.144685039,0.901434521,0.0477,0.464225731,0.712341198,-0.0548,0.682566342,0.390591282,3.024803388,-0.175884759,-1.502979131,-0.0407,-0.04295837,0.840742339,0.596460941,0.68011811,-0.0816,0.219870167,0.654350017,0.086518171,-0.209438449,-0.066,-0.1412,-0.0944,5.624296963,-1.578805385,0.725898556,0.0329,0.303997313,-0.0369,0.05183743,-0.0084,0.709445585,0.822767237,-0.0213,-0.1274,0.597245549,0.374425023,0.79106483,4.299226139,0.1778,4.246284501,-0.0323,0.764402408,0.639518741,-0.0989,0.875,-0.0254,0.5892317,3.359086329,0.778300302,-0.1256,0.674919268,0.475757576,0.2032,0.940305414,1.07635354,0.862845011,0.77727784,0.754989384,1.11051394,0.917622081,0.958661417,1.194045175,-2.080311894,0.700846945,0.586836518,0.2977,0.131623932,-0.1127,0.3306,0.703569268,-1.16347802,-1.333212023,0.1421,0.273744707,0.0972328,-0.017,0.0905,0.418787598,0.252771019,0.827176221,0.653660012,-1.900341654,-0.15881666,0.78132348,0.418027828,-1.592333643,0.1948,0.487819732,0.2161,0.1382,0.577340183,0.2355,0.2317,-0.0129,-0.0285,-0.0396,0.0294,-0.0951,0.552258754,11.04972376,-0.0622,-0.1043,-0.0566,4.627487274,4.315925766,0.2326,0.522339028,0.605353466,4.921259843,-1.444927395,-0.008133562,1.527071823,0.987685775,2.570165746,-0.124669437,7.235890014,-1.407635767,5.133470226,0.614640048,0.594153052,0.535519126,29.17,3,29
